artist,year,words,syllables,sentiment,ttr
Bieber,2011,1813,428,0.35,0.275324675
Bieber,2011,1990,545,6.4,0.266990291
Bieber,2011,1494,383,4.6,0.292682927
Bieber,2011,1607,416,3.6,0.311614731
Bieber,2011,3059,784,0.3,0.469673406
Bieber,2011,1167,304,-0.15,0.305343511
Bieber,2011,1647,422,5.5,0.246246246
Bieber,2011,1696,434,6.7,0.297058824
Bieber,2011,853,220,3.05,0.655844156
Bieber,2011,1621,403,0.9,0.195718654
Bieber,2011,1612,429,5.45,0.237837838
Bieber,2011,1551,404,7.95,0.401993355
Bieber,2011,2785,742,6.75,0.372909699
Bieber,2011,1741,464,4.05,0.349862259
Bieber,2011,1627,413,0.35,0.249283668
Bieber,2011,1527,366,1.5,0.314754098
Bieber,2011,328,82,10.2,0.661290323
Bieber,2011,1818,458,9.1,0.291208791
Bieber,2011,1608,425,5.2,0.240437158
Bieber,2011,1315,331,1.6,0.318493151
Bieber,2011,1163,277,6,0.39380531
Bieber,2012,2164,531,6,0.28708134
Bieber,2012,1917,508,2.95,0.301703163
Bieber,2012,2529,688,1.15,0.320939335
Bieber,2012,1837,500,2.3,0.21039604
Bieber,2012,1871,456,6.35,0.280612245
Bieber,2012,1911,529,3.25,0.357923497
Bieber,2012,2288,551,1.5,0.291497976
Bieber,2012,1728,425,1.95,0.311170213
Bieber,2012,2015,472,0.6,0.196261682
Bieber,2012,1541,401,2.3,0.373831776
Bieber,2012,1648,446,1.2,0.212365591
Bieber,2012,1273,297,0.55,0.395652174
Bieber,2012,1499,356,-0.45,0.227586207
Bieber,2012,2060,501,3.25,0.181222707
Bieber,2012,1508,348,2.8,0.295031056
Bieber,2012,2601,654,1.1,0.28
Bieber,2012,703,185,-1,0.403726708
Bieber,2012,822,195,3.6,0.536585366
Bieber,2012,2192,559,6.45,0.235867446
Bieber,2012,2022,509,8.85,0.362980769
Bieber,2013,1733,450,2.7,0.315789474
Bieber,2013,2136,581,-0.35,0.347926267
Bieber,2013,844,220,1.85,0.366120219
Bieber,2013,1405,323,3.55,0.316498316
Bieber,2013,1407,386,3.1,0.268608414
Bieber,2013,1335,306,0.8,0.380165289
Bieber,2013,1270,296,2,0.2
Bieber,2013,1803,437,1.5,0.364583333
Bieber,2013,1668,441,1.35,0.228021978
Bieber,2013,1597,425,4.35,0.28021978
Bieber,2013,1121,277,1.55,0.40625
Bieber,2013,2301,589,3.55,0.27628866
Bieber,2013,1146,287,4.35,0.497890295
Bieber,2013,2019,470,2.5,0.25267666
Bieber,2013,1910,463,2.1,0.329787234
Bieber,2013,737,191,-0.95,0.432926829
Bieber,2013,1168,300,-5.5,0.371541502
Bieber,2013,2591,657,5.2,0.243386243
Bieber,2013,1342,352,0,0.322580645
Bieber,2013,798,202,4.15,0.412790698
Bieber,2013,2727,709,5.95,0.322580645
Bieber,2013,2077,543,7.4,0.265033408
Bieber,2013,2196,550,-2.15,0.343529412
Bieber,2013,2418,634,1.65,0.221991701
Bieber,2013,2040,532,0.45,0.283813747
Bieber,2013,2682,679,4.1,0.296928328
Bieber,2015,598,155,-1,0.481203008
Bieber,2015,1187,287,1.4,0.311740891
Bieber,2015,2040,493,3.45,0.211581292
Bieber,2015,1448,386,0.2,0.317073171
Bieber,2015,2084,524,0.55,0.258928571
Bieber,2015,1124,318,0.85,0.352422907
Bieber,2015,2842,706,2.2,0.310517529
Bieber,2015,2271,581,0.85,0.30785124
Bieber,2015,1704,453,-0.7,0.255617978
Bieber,2015,1778,463,1.55,0.45505618
Bieber,2015,1134,287,1.15,0.184100418
Bieber,2015,1627,408,6.4,0.437125749
Bieber,2015,1370,342,-0.45,0.265100671
Bieber,2015,1910,493,6.65,0.303317536
Bieber,2015,2201,560,5.95,0.35371179
Bieber,2015,1814,455,7.35,0.303664921
Bieber,2015,1986,530,3,0.323741007
Bieber,2015,1938,473,3.45,0.225352113
Bieber,2015,1651,419,-0.8,0.245901639
Bieber,2015,1100,263,-2,0.323770492
Bieber,2015,1273,317,4.6,0.315217391
Drake,2006,907,230,3.5,0.524861878
Drake,2006,4741,1215,11.55,0.321499014
Drake,2006,2561,639,2,0.511494253
Drake,2006,1656,397,3.25,0.5
Drake,2006,3455,868,5.55,0.41966759
Drake,2006,3087,793,3.2,0.3953125
Drake,2006,2274,567,-0.35,0.450549451
Drake,2006,2942,742,0.35,0.443877551
Drake,2006,2764,690,7.15,0.426199262
Drake,2006,3880,1002,9.7,0.43622449
Drake,2006,5196,1291,4.85,0.446932814
Drake,2006,2502,640,8.65,0.420841683
Drake,2006,2974,742,0,0.355305466
Drake,2006,2534,642,11.4,0.360531309
Drake,2006,3326,874,0.6,0.515837104
Drake,2006,4316,1101,6.6,0.356580427
Drake,2006,2066,523,0.7,0.501234568
Drake,2006,4026,987,-0.7,0.397040691
Drake,2007,2739,689,9.95,0.511796733
Drake,2007,2052,537,-1.15,0.565947242
Drake,2007,4048,1047,11.05,0.493857494
Drake,2007,2722,685,4.15,0.482882883
Drake,2006,3087,793,3.2,0.3953125
Drake,2007,3147,793,-0.95,0.531152648
Drake,2007,2236,589,8.2,0.571106095
Drake,2007,1454,362,2.45,0.532679739
Drake,2007,553,150,2.95,0.675925926
Drake,2007,3046,800,-0.3,0.458990536
Drake,2007,2583,662,2.05,0.447761194
Drake,2007,1272,330,-3,0.531135531
Drake,2007,1846,478,1.75,0.603399433
Drake,2007,493,119,3.35,0.742574257
Drake,2007,1690,435,0.6,0.63963964
Drake,2007,3527,913,-1.95,0.311231394
Drake,2007,1128,293,2.45,0.60251046
Drake,2007,1173,313,1.6,0.528688525
Drake,2007,2529,665,3.25,0.487084871
Drake,2007,3448,867,-2.7,0.468299712
Drake,2007,2351,583,1.35,0.416666667
Drake,2007,3159,808,0.45,0.292397661
Drake,2007,4260,1083,2.3,0.379587156
Drake,2009,1232,308,3.9,0.536764706
Drake,2009,2279,595,0.85,0.401913876
Drake,2009,3796,992,-1.25,0.406524467
Drake,2009,1490,371,3.8,0.405144695
Drake,2009,1683,435,-5.75,0.544927536
Drake,2009,4111,1057,-5.85,0.507177033
Drake,2009,1448,380,3.4,0.332298137
Drake,2009,3371,857,-10.3,0.466666667
Drake,2009,2013,529,-0.7,0.37752809
Drake,2009,2909,756,5.35,0.381410256
Drake,2009,1784,471,2.65,0.527777778
Drake,2009,3668,937,-0.85,0.41025641
Drake,2009,1822,469,7.8,0.385204082
Drake,2009,798,214,0.5,0.393258427
Drake,2009,2869,736,-0.65,0.495769882
Drake,2009,1117,283,-0.8,0.587443946
Drake,2009,2953,763,1.75,0.496688742
Drake,2009,2279,595,0.85,0.401913876
Drake,2009,3796,992,-1.25,0.406524467
Drake,2009,2909,756,5.35,0.381410256
Drake,2009,3668,937,-0.85,0.41025641
Drake,2009,2350,611,-5.25,0.472837022
Drake,2009,2869,736,-0.65,0.495769882
Drake,2009,3374,855,-0.5,0.416184971
Drake,2010,2836,716,8.95,0.483304042
Drake,2010,1505,385,-1.7,0.506451613
Drake,2010,3102,776,0.65,0.440124417
Drake,2010,2021,515,0.35,0.532846715
