Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Awesome Recipe,American IPA,22.71,1.067,1.016,6.72,112.78,6.39,28.39,60,62,BIAB
Slippery When Wet Hop IPA,American IPA,20.82,1.048,1.011,4.76,88.39,6.61,28.39,60,70,BIAB
Juicy IPA,American IPA,37.85,1.068,1.013,7.24,82.55,5.27,45.42,60,70,BIAB
Zombie Dust (8),American IPA,32.18,1.06,1.011,6.42,65.82,7.99,24.61,60,70,extract
Fresh Squeezed Homage,American IPA,20.06,1.069,1.014,7.3,73.03,10.59,22.71,60,75,All Grain
Cairngorm - Trade Winds,American IPA,23,1.04,1.008,4.28,32.54,3.45,28,60,70,All Grain
Hop it's alright,American IPA,19,1.056,1.01,6.06,45.67,6.26,25,60,68,All Grain
Accidental Ale,American IPA,22,1.059,1.011,6.33,58.07,11.38,30,60,65,All Grain
Jugo de Hops,American IPA,22.71,1.079,1.022,7.49,44.14,6.72,28.39,60,75,All Grain
Grapefruit Pulpin v2,American IPA,20.82,1.048,1.009,5.1,55.62,7.5,15.14,60,35,extract
Munich Columbus IPA,American IPA,29,1.062,1.015,6.18,63.84,10.57,32,60,78,All Grain
Queef ipa,American IPA,20.82,1.062,1.012,6.63,43.86,7.75,24.61,60,75,All Grain
Day Shade IPA,American IPA,20.82,1.087,1.017,9.16,50.57,5.05,28.39,60,75,All Grain
Amarillo IPA #6,American IPA,11,1.056,1.011,5.91,101.15,8.27,14.5,60,45,BIAB
Black IPA v2 small,American IPA,11.36,1.074,1.017,7.37,44.13,42.11,17.98,60,70,All Grain
Soulless,American IPA,18.93,1.07,1.018,6.77,61.82,8.56,26.5,60,70,All Grain
Awesome Recipe,American IPA,20.82,1.035,1.008,3.5,262.88,5.72,28.39,60,35,All Grain
Grapefruit IPA,American IPA,18.93,1.079,1.021,7.64,69.1,12.06,15.14,60,60,BIAB
IPA,American IPA,18.93,1.061,1.012,6.5,80.02,8.02,24.61,60,70,All Grain
Sim City,American IPA,18.93,1.071,1.014,7.56,87.78,6.54,11.36,60,50,extract
NEW IPA,American IPA,50,1.055,1.009,6.07,87.6,3.61,56,60,82,All Grain
01 - 2017 Jan - The Asterix IPA,American IPA,21,1.062,1.011,6.68,56.27,9.08,28,60,73,BIAB
NEIPA,American IPA,19,1.062,1.012,6.48,97.38,4.08,25,60,70,All Grain
Jubileum #50,American IPA,65,1.061,1.01,6.73,48.41,4.97,70,60,70,All Grain
Stone Mocha IPA clone,American IPA,20.82,1.09,1.021,9.04,83.19,12.59,28.39,60,75,All Grain
Awesome Recipe,American IPA,21,1.082,1.021,8.12,63.8,13.39,11,60,65,Partial Mash
C U Next Tuesday,American IPA,20.82,1.068,1.016,6.76,73.89,6.33,26.5,60,70,All Grain
Punk (safale),American IPA,10,1.059,1.013,5.98,47.49,4.3,12.5,60,70,All Grain
Triple Tap IPA,American IPA,24.61,1.054,1.006,6.21,67.14,4.72,30.28,60,70,All Grain
Centennial IPA,American IPA,19.87,1.058,1.015,5.73,56.76,6.03,24.61,90,80,All Grain
Low Alcohol Pale v4,American IPA,35,1.016,1.011,0.65,6.93,1.69,40,60,75,All Grain
March IPA,American IPA,20.82,1.06,1.015,5.87,62.04,6.09,28.39,60,70,All Grain
Bastard Bird Dog IPA,American IPA,20.82,1.057,1.01,6.18,106.02,9.12,29.34,60,70,All Grain
Stilla havet-IPA,American IPA,21,1.07,1.016,7.04,72.13,6.08,24,60,75,All Grain
Hop Damn IPA,American IPA,22.71,1.066,1.013,7.03,76.96,10.98,15.14,60,35,extract
Curious IPA,American IPA,20.82,1.067,1.013,7.1,71.69,9.38,26.5,60,35,extract
Easy Peasy Ale,American IPA,60.57,1.05,1.011,5.16,45.88,4.44,75.71,90,70,BIAB
Spring Time IPA,American IPA,18.93,1.072,1.014,7.63,264.94,3.41,24.61,90,35,extract
Mosaic IPA,American IPA,20,1.07,1.02,6.49,46.33,14.11,25,60,77,All Grain
AIPA 4.21.15,American IPA,11.36,1.075,1.019,7.28,60.16,6.39,13.25,60,35,extract
India Pale Lager (IPL),American IPA,39.75,1.062,1.013,6.41,88.64,9.95,46.56,60,65,All Grain
Cascade,American IPA,18.93,1.077,1.026,6.78,118.23,6.76,24.61,60,70,All Grain
Mosaic IPA,American IPA,20.82,1.071,1.017,7.09,91.97,5.79,28.39,90,70,All Grain
Teenage Dream 2.0,American IPA,11.36,1.075,1.02,7.31,69.12,8.06,13.63,60,67,All Grain
Slap My Ass and Call Me 40 Citra IPA,American IPA,20.82,1.072,1.018,7.08,81.71,12.78,15.14,60,35,extract
LAWNMOWER IPA--extract,American IPA,20.82,1.05,1.011,5.04,54.07,4.76,11.36,60,35,extract
Fresh Squeezed from AHA Converted to 2 for B...,American IPA,7.57,1.067,1.014,6.9,62.39,10.39,15.14,90,75,BIAB
I m P al A,American IPA,15.7,1.065,1.015,6.61,69.01,10.07,22,60,77,All Grain
Nelson 2,American IPA,20.82,1.063,1.015,6.3,63.08,4.77,28.39,60,65,All Grain
Dringer,American IPA,15.14,1.065,1.015,6.51,42.91,13.03,18.93,60,65,All Grain
Kyvatnet AmerikanskIndisk Sommar,American IPA,50,1.056,1.016,5.37,76.57,10.48,60,60,75,All Grain
Apricot IPA,American IPA,18.93,1.061,1.017,5.82,51.84,10.67,11.36,60,35,Partial Mash
Hophands,American IPA,22.71,1.076,1.02,7.44,66.54,6.34,28.39,60,70,All Grain
Idle Hands IPA,American IPA,20.82,1.062,1.011,6.68,67.17,8.54,28.39,60,65,All Grain
Red Hop IPA,American IPA,18.93,1.067,1.02,6.19,55.43,19.56,28.39,60,70,All Grain
IPA Test,American IPA,20.82,1.053,1.012,5.32,92.37,8.23,9.46,60,35,extract
Awesome Recipe,American IPA,20.82,1.075,1.019,7.41,68.5,8.28,28.39,60,35,extract
Mandela,American IPA,16,1.063,1.013,6.62,161.22,12.91,19,60,63,All Grain
Session IPA,American IPA,20.82,1.058,1.011,6.11,59.63,6.68,28.39,60,75,All Grain
Mosaic IPA,American IPA,24.61,1.054,1.014,5.34,53.23,4.31,28.39,60,70,All Grain
Todd The Axeman,American IPA,20.82,1.091,1.021,9.09,133.75,7.06,28.39,60,70,All Grain
India Pills Ale,American IPA,20.82,1.087,1.022,8.57,92.02,6.41,30.28,60,75,BIAB
Ice Cream Pale,American IPA,20,1.079,1.026,6.89,41.87,7.01,28.5,60,80,All Grain
Little Darwin,American IPA,120,1.047,1.01,4.8,41.87,6.75,105,90,67,All Grain
Rosado Muerto,American IPA,20.82,1.065,1.008,7.43,48.36,7.27,11.36,60,75,Partial Mash
Kama Citra IPA,American IPA,20.82,1.059,1.013,6,54.76,7.51,25.55,60,80,All Grain
Fyr og Flamme clone 25L,American IPA,25,1.062,1.014,6.28,55.73,7.23,30,90,72,All Grain
CitrAmarillo all grain,American IPA,20.82,1.052,1.01,5.52,22.58,4.51,28.39,60,75,All Grain
Titoallertau,American IPA,26,1.059,1.015,5.79,39.84,6.79,35,60,70,All Grain
BRYDEN READ!!! (NEPA),American IPA,20,1.056,1.014,5.55,37.79,3.66,28.4,60,70,All Grain
Spring Glen IPA,American IPA,20.82,1.071,1.017,7.08,57.51,10,28.39,60,70,All Grain
Session IPA,American IPA,39.75,1.045,1.009,4.74,41.56,11.09,49.21,60,75,All Grain
Simple IPA,American IPA,14.2,1.047,1.008,5.08,59.59,4.12,17.03,90,75,BIAB
"Local Okanagan IP""EH""",American IPA,20.82,1.062,1.016,6.15,121.51,7.1,28.39,60,70,BIAB
Juicy Nugget,American IPA,20.82,1.058,1.013,5.9,84.55,6.89,24.61,60,70,All Grain
Tired hands pineal,American IPA,20.82,1.055,1.009,6,68.36,6.8,26.5,60,72,All Grain
American IPA,American IPA,20,1.062,1.017,5.91,54.63,8.67,17,60,70,Partial Mash
Mosaic Ipa,American IPA,20.82,1.068,1.011,7.48,65.49,5.94,28.39,60,70,All Grain
Dog's Hair Jokester IPA,American IPA,21.77,1.053,1.01,5.7,43.05,7.54,28.39,60,69,All Grain
Rye IPA II,American IPA,18.93,1.049,1.011,5.01,61.26,20.37,26.5,60,57,All Grain
IPA.Hop.Splurge,American IPA,20.82,1.063,1.011,6.75,121.12,7.06,28.39,60,70,BIAB
Spring 2015 IPA,American IPA,20.82,1.07,1.016,7.09,61.31,6.02,28.39,60,75,All Grain
Sarge's IPA,American IPA,18.93,1.067,1.016,6.71,75.14,11.37,26.5,60,70,All Grain
AAA IPA,American IPA,11.36,1.072,1.018,7.15,71.86,10.97,17.79,60,75,BIAB
California Centennial IPA,American IPA,22.71,1.063,1.017,6,55.91,7.63,22.71,60,35,extract
5 bbl bad bad juicy fruit,American IPA,586.74,1.06,1.011,6.45,29.23,5.29,704.09,60,80,All Grain
Red Hopface,American IPA,16,1.048,1.012,4.73,48.8,25.09,20,60,60,All Grain
Sticky Icky,American IPA,21.77,1.057,1.008,6.45,71.59,4.28,27.44,60,65,All Grain
Fresh Squeezed on the Beach  IPA,American IPA,22.71,1.067,1.009,7.65,63.51,11.08,30.28,60,63,All Grain
Melvin-Style IPA,American IPA,22.71,1.069,1.018,6.73,32.71,6.66,28.39,60,75,BIAB
Noble Savage II,American IPA,3.79,1.063,1.012,6.69,75.06,6.71,5.68,60,25,extract
Palm Tree Abbey Mango IPA,American IPA,26,1.061,1.012,6.37,56.44,10.03,37,60,60,All Grain
M-80 IPA,American IPA,22.71,1.059,1.011,6.23,141.8,5.94,22.71,60,35,extract
Chronic Haze,American IPA,27,1.06,1.016,5.69,47.16,4.68,30,60,88,All Grain
Throttle Out IPA,American IPA,20.82,1.057,1.012,5.91,86.11,4.53,25.55,60,85,All Grain
Fifty-Four Forty or Fight,American IPA,18.93,1.064,1.015,6.39,61.02,9.78,11.36,60,35,extract
Sh!t,American IPA,19.87,1.066,1.011,7.19,66.24,6.39,29.72,60,70,All Grain
Allamarillo,American IPA,18.93,1.053,1.01,5.71,41.51,4.07,26.5,60,60,All Grain
Fat tug 7,American IPA,20.82,1.057,1.01,6.05,97.88,7.23,28.39,60,83,All Grain
Soulless Hop Pale Ale (Zombie Dust) - curren...,American IPA,20.82,1.068,1.016,6.82,74.97,7.66,26.5,60,75,BIAB
IPA - Gluten Free,American IPA,20.82,1.062,1.014,6.27,63.78,11.21,11.36,60,0,extract
InHopropriate 3,American IPA,75.71,1.067,1.017,6.61,206.25,7.49,94.64,60,70,All Grain
January APA,American IPA,24,1.046,1.01,4.7,39.58,5.4,30,60,70,All Grain
SJB's liquid lunch,American IPA,20.5,1.058,1.01,6.2,68.37,12.18,26.5,60,77,All Grain
Awesome Recipe,American IPA,18.93,1.078,1.018,7.86,125.1,9.55,28.39,60,70,All Grain
Another Emergency IPA (w/ Sonnet),American IPA,27.63,1.066,1.012,7.08,90.68,5.15,37.85,60,82,All Grain
Brew 1,American IPA,37.85,1.099,1.033,8.68,0,15.79,28.39,60,70,All Grain
Mosaic and Citra,American IPA,41.64,1.06,1.012,6.4,62.3,4.01,53,60,80,All Grain
Heady Topper Clone,American IPA,20.82,1.078,1.018,7.9,135.47,6.41,24.61,60,70,All Grain
AB Clone,American IPA,18.93,1.077,1.015,8.13,100.62,15.88,24.61,60,70,All Grain
Batch #1 - IPA,American IPA,37.85,1.065,1.014,6.64,74.43,6.1,45.42,60,61,All Grain
80s Football Game,American IPA,20.82,1.072,1.013,7.74,103.49,6.23,28.39,60,65,All Grain
IPA 001,American IPA,22,1.066,1.011,7.19,47.6,6.68,28.5,60,70,BIAB
Winter Solstice / Black IPA,American IPA,37.85,1.07,1.016,7.12,0,10.74,45.42,60,80,All Grain
Citrennial RyIPA,American IPA,20.82,1.075,1.028,6.21,58.92,13.05,24.61,60,75,All Grain
Big Wahala Nigerian Pale Ale,American IPA,20.82,1.051,1.015,4.74,34.11,8.68,24.61,60,35,Partial Mash
Norbs' crazy aipa,American IPA,22.71,1.068,1.015,6.96,65.44,9.82,29.45,60,70,BIAB
NEIPA,American IPA,25,1.05,1.014,4.75,87.59,3.69,30,60,72,All Grain
Pliny,American IPA,20.82,1.073,1.013,7.86,171.15,6.45,28.39,60,70,BIAB
Afternoon,American IPA,20.82,1.059,1.011,6.22,66.08,12.08,28.39,60,60,All Grain
Hazey Dayz,American IPA,11.36,1.074,1.019,7.23,66.53,7.17,15.14,60,70,BIAB
Wapati Cascade IPA,American IPA,20.82,1.056,1.01,6.08,51.68,7.16,28.39,60,75,All Grain
King Frankie Imperial PA,American IPA,20.82,1.105,1.025,10.59,84.15,12.24,28.39,60,75,All Grain
IPA 2017-11-14,American IPA,32,1.053,1.009,5.73,45.19,8.65,35,60,82,All Grain
Mysterye,American IPA,20.82,1.06,1.015,5.94,56.74,20.33,28.39,60,70,All Grain
Centennial-Belma,American IPA,37.85,1.067,1.017,6.52,83.64,9.82,49.21,60,70,All Grain
Monster ipa,American IPA,18,1.066,1.017,6.52,0,6.76,28.4,60,70,All Grain
Long Live My Queen,American IPA,18,1.059,1.014,5.95,52.83,13.09,11,60,70,Partial Mash
Hoppy Session,American IPA,9.46,1.047,1.008,5.12,57.71,3.24,11.36,60,75,BIAB
Punk IPA 2.0,American IPA,18.93,1.054,1.01,5.74,55.64,7.56,24.61,60,70,All Grain
Hip Hop Punk IPA 2010,American IPA,18,1.057,1.013,5.98,121.67,5.22,22,90,73,All Grain
UJ Clone,American IPA,22.71,1.073,1.015,7.55,77.44,7.14,28.39,90,70,All Grain
Sawzall IPA,American IPA,20.82,1.06,1.015,5.94,69.22,6.12,28.39,60,85,All Grain
Tearass Brew,American IPA,19,1.051,1.012,5.14,41.92,7.26,26,60,75,All Grain
9 Mile IPA Session,American IPA,113.56,1.043,1.008,4.52,21.64,4.98,121.13,90,85,All Grain
Amarillo AIPA,American IPA,22,1.066,1.012,7.06,58.5,4.15,27,60,75,All Grain
Murky Water IPA,American IPA,18.93,1.065,1.017,6.3,52.21,7.32,22.71,60,35,extract
Grapefruit Honey Ale,American IPA,20.82,1.056,1.013,5.69,42.08,6.62,28.39,60,70,All Grain
Cromarty Brewing Co - Hit The Lip,American IPA,23,1.038,1.009,3.83,29.9,4.46,28,60,70,All Grain
Zombie Dust,American IPA,20.82,1.056,1.013,5.73,64.6,7.93,28.39,60,70,BIAB
IPA #1 (20 L),American IPA,21,1.058,1.011,6.06,62.35,6.35,24,90,75,All Grain
Iron Armadillo,American IPA,11.36,1.078,1.015,8.3,72.67,6.88,15.14,90,70,All Grain
Oil Drillers Drill Choice,American IPA,26,1.056,1.012,5.73,59.06,5.82,30,60,75,All Grain
IPA new mango base,American IPA,19,1.044,1.009,4.56,38.44,4.52,28.5,60,75,BIAB
Mikklan New England IPA small batch,American IPA,15,1.056,1.013,5.68,25.17,5.84,20,60,68,All Grain
London Cheat Codes,American IPA,45.42,1.074,1.013,8.05,33.09,6.93,52.05,60,74,All Grain
BiggaBond 19mars,American IPA,21,1.056,1.01,6.04,75.91,12.23,29,60,75,BIAB
Late Hops. 3.,American IPA,28.77,1.067,1.015,6.8,94.45,5.6,35.02,60,72,All Grain
Black as Night Black IPA,American IPA,18.93,1.058,1.011,6.15,63.13,39.12,15.14,60,35,extract
Juice box,American IPA,352.04,1.06,1.014,6.04,85.29,3.9,354.31,60,75,All Grain
No.34,American IPA,23,1.06,1.015,5.88,44.31,9.48,32,90,75,All Grain
Lee Lee's Fruity IPA,American IPA,18.93,1.071,1.017,7.11,76.43,17.3,19.68,60,70,All Grain
Waimea IPA,American IPA,20.82,1.066,1.017,6.71,62.09,8,18.93,60,75,BIAB
Oat tweaked Pale Ale,American IPA,12.7,1.065,1.015,6.54,42.38,11.11,15.7,60,77,BIAB
Dead Ringer IPA,American IPA,20.82,1.064,1.011,6.93,68.39,7.67,24.61,60,80,All Grain
Zoo,American IPA,42,1.066,1.017,6.43,125.38,5.27,50,60,75,All Grain
Proper Job clone,American IPA,25,1.056,1.013,5.57,55.66,6.15,28,60,70,BIAB
Awesome Recipe,American IPA,26.5,1.071,1.016,7.24,47.05,4.63,34.07,90,70,All Grain
Galaxy IPA,American IPA,11.36,1.07,1.013,7.4,74.07,6.19,15.14,60,65,All Grain
Calling Extract Clone,American IPA,18.93,1.076,1.014,8.04,74.48,5.78,26.5,60,70,All Grain
Messin around v1.2,American IPA,18.93,1.059,1.01,6.44,80.18,10.26,11.36,60,35,Partial Mash
Cascade ipa 1 gal,American IPA,3.79,1.053,1.013,5.17,43.3,5.1,7.57,60,35,extract
SINGLE HOP SERIS: Galaxy,American IPA,22.71,1.059,1.016,5.56,92.64,5.6,30.28,60,70,All Grain
Kama Citra IPA,American IPA,18.93,1.071,1.014,7.56,85.24,6.54,11.36,60,50,extract
Summer On Saw Mill,American IPA,18.93,1.04,1.007,4.27,58.91,9.26,28.39,60,41,All Grain
#0018 AHS Anniversary IPA,American IPA,20.82,1.057,1.014,5.6,63.39,9.36,24.61,60,35,extract
Tyr Morga,American IPA,16,1.069,1.019,6.59,34,6.78,21,60,70,All Grain
Laganitas Clone,American IPA,20.82,1.059,1.015,5.71,64.52,7.61,28.39,90,72,All Grain
Byzantine IPA,American IPA,20.82,1.061,1.014,6.19,54.26,5.88,26.5,90,70,All Grain
Stickman!,American IPA,44,1.056,1.014,5.5,140.46,9.47,50,60,70,BIAB
Roundtable IPA,American IPA,83.28,1.069,1.009,7.79,99.58,6.07,98.42,60,75,All Grain
Portlandia,American IPA,20.82,1.058,1.018,5.26,78.55,5.24,28.39,60,60,All Grain
NE IPA,American IPA,22.71,1.052,1.013,5.12,77.86,5.66,26.5,60,70,All Grain
Sorta Sue,American IPA,20.82,1.063,1.016,6.09,30.56,10.88,28.39,90,70,All Grain
Laska's best (torpedo clone),American IPA,22.71,1.071,1.017,7.1,80.82,9.41,31.23,90,70,All Grain
Carmen Miranda does 'Murica,American IPA,25,1.063,1.012,6.68,51.19,8.64,11,60,35,extract
103 American IPA,American IPA,42,1.054,1.012,5.44,46.07,12.38,45,60,75,All Grain
Late addition hop bomb,American IPA,23.09,1.057,1.012,5.92,56.97,8.77,28.39,60,65,All Grain
For Your Rye's Only,American IPA,22,1.069,1.011,7.5,64.98,10.88,32,60,65,BIAB
Plineus the Wise Extract Version,American IPA,18.93,1.087,1.021,8.62,113.95,6.67,22.71,60,60,All Grain
Hampshire IPA,American IPA,22.71,1.069,1.012,7.47,66.62,9.39,26.5,90,70,All Grain
Rich and Famous,American IPA,41.64,1.072,1.014,7.52,71.99,7.3,49.21,90,65,All Grain
Beiço IPA,American IPA,20,1.057,1.011,6.07,42.1,8.76,27,60,60,All Grain
Pinapple whale ale,American IPA,22,1.065,1.012,7,61.84,6.15,32,60,79,BIAB
Slurpers Solitude,American IPA,35,1.059,1.014,6.01,40.1,11.73,28.5,90,70,All Grain
Late Summer IPA,American IPA,8,1.062,1.015,6.22,65.2,12.21,12,60,70,BIAB
Pacific Coast IPA,American IPA,18.93,1.058,1.016,5.51,87.38,10.11,18.93,60,35,extract
Hoptimus Prime,American IPA,18.93,1.051,1.014,4.83,61.85,8.02,9.46,60,35,extract
Blitzkrieg Anthem West coast IPA,American IPA,20.82,1.061,1.01,6.62,168.89,6.72,28.39,60,65,All Grain
Imperial Hoppiness IPA,American IPA,20.82,1.083,1.016,8.78,171.31,6.45,28.39,60,70,All Grain
The Redux IPA,American IPA,41.64,1.053,1.009,5.75,62.25,6.59,47.32,60,70,All Grain
Sierra Nevada Celebration Ale,American IPA,3.79,1.068,1.013,7.24,70.39,9.44,7.57,60,65,All Grain
Imperial Dank,American IPA,20.82,1.074,1.019,7.21,178.8,8.02,28.39,60,70,All Grain
Hop Like It's 1999' IPA,American IPA,20.82,1.056,1.013,5.6,94.7,5.04,26.5,60,70,All Grain
Green Flash West Coast IPA,American IPA,20.82,1.069,1.014,7.2,104.21,8.78,28.39,60,60,All Grain
Cascade,American IPA,24.61,1.057,1.012,5.89,66.25,5.91,30.28,60,80,All Grain
Draken,American IPA,20.82,1.07,1.019,6.68,55.61,8.45,28.39,60,80,All Grain
Pheland IPA,American IPA,20.82,1.084,1.02,8.42,76.51,4.86,28.39,60,70,All Grain
Double Pungent,American IPA,20.82,1.053,1.013,5.3,44.69,29.65,26.5,60,73,All Grain
Citrus Summer Day IPA,American IPA,18.93,1.075,1.019,7.39,62.57,10.54,11.36,60,35,extract
Malty Skunk IPA,American IPA,28.39,1.06,1.012,6.27,60.79,9.34,34.07,60,80,All Grain
Pity Points IPA 5gal,American IPA,18.93,1.062,1.008,7.07,41.31,10.61,28.39,90,65,All Grain
Citrade IPA,American IPA,22.71,1.067,1.013,7.1,56.9,7.81,28.39,60,68,All Grain
53-IPA Home Grain,American IPA,15,1.052,1.01,5.48,39.66,10.03,20,60,73,All Grain
Awesome IPA,American IPA,19.87,1.065,1.019,6.09,71.36,11.65,28.39,90,70,All Grain
Easy drop,American IPA,21,1.024,1.005,2.42,11.66,8.27,28.5,90,35,BIAB
The Future,American IPA,26.5,1.056,1.009,6.19,93.51,4.83,30.66,60,71,All Grain
Mosaic River IPA,American IPA,17.03,1.063,1.011,6.92,90.7,8.08,20.82,60,70,BIAB
FWUJ,American IPA,20.82,1.065,1.016,6.42,74.99,6.41,28.39,90,72,All Grain
Sierra Nevada Celebration Ale,American IPA,20.82,1.068,1.015,6.95,71.02,13.46,24.61,60,70,All Grain
Heady Nugs,American IPA,20.82,1.084,1.022,8.11,0,5.64,11.36,60,35,extract
Dzsúz,American IPA,38,1.053,1.014,5.13,48.44,4.19,42,60,70,All Grain
Luscious IPA,American IPA,37.85,1.07,1.017,6.9,81.39,8.89,45.42,60,70,All Grain
NRBC Summer IPA,American IPA,20.82,1.054,1.009,5.88,93.37,7.6,26.5,90,70,All Grain
T&S IPA,American IPA,3.79,1.073,1.014,7.74,65.9,11.68,9.46,60,65,All Grain
Obsession,American IPA,24.61,1.064,1.009,7.15,67.48,4.2,30.28,60,70,All Grain
Control Panel,American IPA,17.03,1.064,1.018,6.07,47.77,5.28,20.82,60,73,All Grain
Epic IPA,American IPA,20.82,1.074,1.016,7.66,40.91,11.83,28.39,60,70,BIAB
American IPA,American IPA,20.82,1.069,1.015,7.11,99.41,7.28,28.39,60,70,All Grain
Blazing Hog,American IPA,21,1.064,1.015,6.38,141.64,6.02,11,60,65,Partial Mash
Citra NE IPA,American IPA,37.85,1.051,1.012,5.08,39.35,3.7,41.64,60,70,All Grain
Welcome Back Ale,American IPA,22.71,1.065,1.015,6.47,81.49,8.93,26.5,60,80,All Grain
Grapefruit Pulpin,American IPA,18.93,1.066,1.016,6.48,35.06,12.24,9.46,60,35,extract
Kjeller 5 Mr. Nelson Goes Passionate IPA Eks...,American IPA,25,1.064,1.012,6.83,64.15,4.68,28,60,70,BIAB
Laiturin Nokassa,American IPA,20,1.073,1.014,7.64,299.32,5.84,28,90,68,All Grain
Single Homegrown Hop PA,American IPA,20.82,1.063,1.016,6.23,88.38,9.56,11.36,60,35,extract
IPA,American IPA,18.93,1.062,1.014,6.29,116.92,6.74,11.36,60,75,Partial Mash
Test to determine a brewers question,American IPA,5,1.072,1.018,7.07,57.27,7.59,8.1,60,78,All Grain
APA #2,American IPA,20.82,1.056,1.01,6.11,41.86,8.48,28.39,60,79,All Grain
Citra/Mosaic IIPA,American IPA,9.46,1.081,1.015,8.63,36.88,5.04,15.14,60,65,All Grain
IPA?????,American IPA,18.93,1.057,1.014,5.61,82.95,8.94,24.61,60,60,All Grain
From Another Galaxy,American IPA,20.82,1.07,1.012,7.58,83.33,6.6,28.39,60,60,All Grain
Swing Set IPA,American IPA,17.98,1.064,1.018,6.08,39.24,7.62,22.71,60,75,All Grain
DoubleStuff 90 Minutes,American IPA,20,1.086,1.021,8.46,174.53,6.24,28.5,90,75,All Grain
KyleIPA,American IPA,28.01,1.065,1.013,6.9,98.4,5.51,36.91,90,80,All Grain
Lövnäsipa Premium,American IPA,17,1.06,1.011,6.42,63.8,24.46,28.5,60,75,All Grain
Lenore IPA,American IPA,21,1.065,1.016,6.38,77.66,6.4,24.5,60,85,All Grain
Phantom Paw Pale Ale 10,American IPA,18.93,1.059,1.014,5.91,91.5,5.74,28.39,60,59,All Grain
Brown Dog - Pliny TE,American IPA,22.71,1.066,1.017,6.53,255.17,6.56,30.28,90,75,All Grain
Citra DIPA,American IPA,20.82,1.074,1.02,7.08,98.94,8.48,28.39,60,70,All Grain
Am Wheat IPA,American IPA,22.71,1.074,1.018,7.67,0,4.41,29.37,90,74.6,All Grain
IIIPA,American IPA,18.93,1.07,1.016,7.11,80.67,10.71,22.71,60,35,extract
American IPA,American IPA,18.93,1.056,1.014,5.55,68.12,12.5,11.36,60,35,Partial Mash
IPA 2015-08-15,American IPA,21,1.053,1.011,5.57,96.22,4.1,25,60,60,All Grain
Feels Like Spring Session IPA,American IPA,41.64,1.057,1.012,5.94,58.48,6.72,49.21,60,70,All Grain
Pliny Vary 2,American IPA,20.82,1.078,1.017,8.03,215.7,6.1,26.5,90,70,All Grain
Simcoe Promise,American IPA,20.82,1.071,1.017,7.08,96.26,6.31,28.39,60,70,All Grain
Mango IPA,American IPA,12,1.048,1.008,5.21,48.43,13.41,18,60,60,All Grain
Gold Rush,American IPA,24,1.059,1.012,6.25,47.93,7.33,30,60,75,All Grain
Blood Moon IPA #2,American IPA,18.93,1.057,1.016,5.36,48.8,8.93,9.46,60,35,extract
Rye light,American IPA,20.82,1.063,1.016,6.18,20.97,11.4,28.39,60,70,All Grain
Dank IPA Version 5.1,American IPA,41.64,1.056,1.013,5.63,84.65,9.67,49.21,60,63,All Grain
Sneezy Rat,American IPA,17.03,1.058,1.012,6.09,344.41,6.56,18.93,60,35,extract
2.017,American IPA,20.82,1.1,1.028,9.36,32.3,6.04,28.39,60,85,All Grain
Simcoe IPA,American IPA,18.93,1.057,1.011,6.01,83.8,6.19,22.71,60,75,extract
Turbo Beaver IPA,American IPA,20.82,1.07,1.017,7.04,73.44,7.69,27.25,60,69,All Grain
Andrew Special,American IPA,20.82,1.068,1.019,6.45,58.3,8.3,28.39,60,70,All Grain
Session IPA,American IPA,18.93,1.046,1.012,4.54,52.14,5.99,22.71,60,70,All Grain
IPA,American IPA,18.93,1.07,1.016,6.99,107.15,5.53,18.93,60,35,extract
IPA,American IPA,18.93,1.063,1.018,5.82,68.79,7.28,13.25,60,70,Partial Mash
Birdie Num-Num IPA,American IPA,24,1.05,1.008,5.45,81.75,10.77,30,60,67,All Grain
Upside Down IPA,American IPA,9,1.052,1.01,5.63,122.07,8.66,12,60,63,BIAB
Munich IPA,American IPA,3.79,1.063,1.014,6.5,66.15,8.71,5.68,60,35,extract
1st 5 gallon batch,American IPA,18.93,1.061,1.015,5.99,117.19,11.63,26.5,60,55,All Grain
My IPA III,American IPA,41.64,1.058,1.013,5.91,60.72,6.45,45.42,60,75,All Grain
Beethoven's IPA,American IPA,20.82,1.078,1.021,7.5,203.84,4.94,28.39,60,70,All Grain
Hoppy Reese,American IPA,45.42,1.074,1.017,7.47,73.79,3.99,53,60,86,All Grain
Standard IPA,American IPA,18.93,1.071,1.018,6.87,47.56,8.07,24.61,60,65,All Grain
Parental IPA,American IPA,15,1.063,1.015,6.32,53.91,6.47,22,60,70,BIAB
Space Ghost,American IPA,20.82,1.064,1.019,5.97,68.64,5.53,28.39,60,73,All Grain
Don's Blind Pig IPA,American IPA,20.82,1.062,1.015,6.26,71.21,3.24,15.14,60,35,extract
Hops Lamb Imperial IPA,American IPA,20.82,1.09,1.02,9.23,57.7,6.87,26.5,60,70,All Grain
Lumberjack IPA,American IPA,24.61,1.061,1.016,5.9,41.93,5.93,28.39,60,70,All Grain
IPA,American IPA,18.93,1.065,1.012,6.95,65.49,7,13.25,60,35,extract
APA x3,American IPA,5.68,1.07,1.018,6.9,0,9.1,4.73,60,65,All Grain
