Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Trælaramp IPA 002,American IPA,12,1.5,1.156,45.16,0,50,14,60,70,BIAB
RyePA,American IPA,18.93,1.072,1.017,7.2,70.8,14.2,28.39,60,70,All Grain
Session IPA,American IPA,1200,1.041,1.009,4.15,39.44,7.53,1250,90,75,All Grain
Svartediket,American IPA,22.5,1.07,1.02,6.62,77.52,20.14,28.4,90,80,All Grain
Deaf Turtle,American IPA,18.93,1.064,1.014,6.57,77.23,7.36,28.01,90,50,All Grain
Flacka Flame,American IPA,18.93,1.058,1.014,5.7,95.58,40,11.36,60,35,extract
IPA,American IPA,2346.96,1.062,1.014,6.38,70.8,8.93,2649.79,60,90,All Grain
Azacca Hop Burst IPA,American IPA,20.82,1.07,1.018,6.8,100.52,4.92,28.39,60,70,All Grain
Vinland Draug Støv,American IPA,25,1.062,1.016,6.15,45.48,6.01,30,60,70,BIAB
M00ps Sunny D IPA,American IPA,20.82,1.074,1.006,8.96,76.27,4.48,28.39,60,68,BIAB
Red Rye IPA,American IPA,20.82,1.064,1.015,6.47,46.86,14.7,28.39,60,75,All Grain
Mosaic Smash,American IPA,25,1.053,1.009,5.8,33.33,5.95,28.5,90,70,BIAB
Lillo Gull IPA II,American IPA,23,1.062,1.016,6.15,76.51,9.87,23,60,75,All Grain
English Red IPA,American IPA,19.87,1.063,1.013,6.61,105.54,17.68,27.44,60,70,All Grain
Summer Grove IPA,American IPA,20.82,1.065,1.018,6.19,69.76,8.2,28.39,60,82,All Grain
Hop Stoopid - Clone,American IPA,18.93,1.075,1.018,7.43,118.35,6.13,24.61,60,70,All Grain
Firestone Walker Union Jack Clone,American IPA,19.87,1.071,1.023,6.31,85.24,6.38,25.55,90,70,All Grain
New England Grapefruit IPA,American IPA,20.82,1.055,1.015,5.24,68.79,7.88,11.36,60,35,extract
Black ipa,American IPA,21,1.078,1.022,7.38,73.91,37.7,28.5,60,85,BIAB
Amber Improv 1 IPA,American IPA,20.82,1.072,1.018,7.05,57.54,10.36,28.39,60,75,All Grain
1-4-16 IPA #3,American IPA,18.93,1.076,1.019,7.49,227.86,5.09,28.39,60,70,All Grain
#S4L IPA,American IPA,19.87,1.064,1.012,6.83,78.27,10.82,22.71,60,78,All Grain
Ryeat IPA,American IPA,13.25,1.06,1.015,5.92,62.65,4.82,15.14,60,70,BIAB
Citra IPA,American IPA,21,1.058,1.014,5.8,68.26,8.05,28.5,60,70,All Grain
South Paw CH,American IPA,293.37,1.064,1.013,6.77,69.74,4.78,316.84,60,78,All Grain
CONUNDRUM — SESSION IPA,American IPA,18.93,1.031,1.006,3.34,36.14,8.65,24.61,60,35,All Grain
90 minute pale fruit ale,American IPA,20.82,1.086,1.021,8.57,81.33,10.94,15.14,90,75,Partial Mash
IPA,American IPA,255,1.068,1.013,7.21,44.4,4.13,280,60,74,All Grain
Supertanker Double Hulled Double IPA Gen 1...,American IPA,23,1.1,1.03,9.22,44.36,23.28,11,60,70,Partial Mash
Dracula Very Pale Ale,American IPA,20.82,1.061,1.014,6.17,142,8.55,26.5,60,75,All Grain
PV Simple IPA,American IPA,7.57,1.063,1.018,5.99,58.63,8.26,9.84,60,70,All Grain
13 Torpedoes AIPA,American IPA,9,1.067,1.011,7.34,65.01,10.91,7,60,35,extract
Donny Danko  IPA,American IPA,28.39,1.063,1.012,6.67,60.73,4.14,34.07,60,80,All Grain
The 2017 Series - IPA#2,American IPA,22,1.074,1.012,8.11,79.15,12.33,26.8,60,63,All Grain
