Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
7891,2,F,54,167,No,right,1,2,55,6,3.5,4,No,No,24,6797,Nobel,9,No,96,880,No,Mac,Instagram,4,Spring19
4441,4,M,68,155,No,right,3,3,20,6.5,3.4,16,No,Yes,1,9787,Olympic,0,No,58,650,No,Mac,Instagram,4,Spring19
5981,2,M,69,150,Yes,right,2,3,20,7,3.2,5,Yes,No,5,6996,Nobel,0,No,86,1278,Yes,Mac,Instagram,4,Spring19
8873,1,F,62,118,No,right,3,2,0,6,3.53,2,No,NA,7,5864,Olympic,4,No,80,200,No,Mac,Snapchat,4,Spring19
1777,1,M,74,185,No,left,2,2,20,6,3.66,15,No,NA,30,4786,Olympic,0,No,88,0,No,Mac,Instagram,4,Spring19
9551,1,M,72,175,No,right,2,1,15,3.5,3.95,10,No,Yes,5,1234,Nobel,0,No,95,900,No,Mac,Instagram,4,Spring19
5436,1,M,71,230,No,right,2,2,15,6,3.6,4,No,No,10,7689,Academy,1,No,72,200,Yes,PC,Instagram,4,Spring19
8617,1,F,62,118,No,right,2,3,75,4,3.4,7,No,No,6,2457,Nobel,2,No,96,522,No,Mac,Snapchat,4,Spring19
2886,1,F,68,NA,No,right,5,2,0,12,NA,7,No,No,NA,4209,Nobel,5,Yes,NA,127,Yes,PC,Twitter,4,Spring19
1880,1,F,60,113,No,right,2,2,70,5,3.8,3,No,No,8,2935,Olympic,2,No,60,200,Yes,Mac,Instagram,4,Spring19
8166,1,M,72,235,Yes,right,3,1,16,3,3.24,8,No,Yes,10,5278,Nobel,0,No,108,233,Yes,PC,Snapchat,4,Spring19
7677,1,F,68,156,No,left,4,2,30,0.01,3.22,2,Planning,No,14,6874,Olympic,2,No,86,1100,Yes,PC,Snapchat,4,Spring19
1128,1,M,71,190,Yes,right,1,1,22,3,3.1,20,Planning,Yes,25,7469,Olympic,0,No,60,850,Yes,Mac,Snapchat,4,Spring19
502,2,M,70,184,No,right,1,2,28,7,2.5,6,No,Yes,20,6512,Olympic,1,No,58,1686,Yes,PC,Instagram,4,Spring19
1694,1,M,NA,155,No,right,0,1,7,25,NA,NA,No,No,20,1314,Nobel,0,No,34,162,No,Mac,Facebook,4,Spring19
7250,1,M,NA,NA,No,right,1,1,30,30,NA,NA,NA,No,10,8645,NA,1,No,64,NA,No,Mac,Other,4,Spring19
4465,2,M,69,165,No,right,5,6,12,2,3,4,No,Yes,28,3129,Olympic,0,Yes,90,0,Yes,PC,Instagram,4,Spring19
9466,2,M,72,185,No,right,1,2,35,7,3,6,Yes,No,20,0,Olympic,0,Yes,62,700,No,Mac,Snapchat,4,Spring19
7000,1,M,77,190,No,right,2,2,20,3.5,3,13,No,Yes,10,8129,Olympic,0,Yes,47,NA,Yes,Mac,Twitter,2,Spring19
952,2,F,64,145,No,right,2,1,30,9,3.03,4,Yes,Yes,1,1749,Academy,7,No,56,300,Yes,Mac,Instagram,2,Spring19
3525,3,F,66,175,No,right,2,2,65,1.5,3.2,15,No,Yes,5,9624,Olympic,3,No,72,800,Yes,PC,Snapchat,2,Spring19
93,2,F,65,123,No,right,2,1,330,24,NA,0,No,No,4,2341,Nobel,0,No,NA,360,Yes,Mac,Instagram,2,Spring19
6435,3,F,69,145,Yes,right,1,2,200,3,3.78,12,Yes,Yes,5,8214,Academy,2,No,54,1000,Yes,Mac,Snapchat,2,Spring19
8265,1,F,61,115,No,right,2,3,0,7,3.2,10,Planning,Yes,5,1084,Olympic,2,No,63,0,No,Mac,Instagram,2,Spring19
1008,1,F,66,150,No,right,2,1,25,6,3.8,12,No,Yes,2,1672,Olympic,3,No,52,100,Yes,Mac,Instagram,2,Spring19
8722,1,M,70,167,No,right,2,1,25,6,1.5,9,Planning,Yes,5,606,Nobel,0,No,68,500,Yes,Mac,Snapchat,2,Spring19
5374,1,F,64,127,No,right,1,1,0,3.5,3.36,4,Planning,No,20,2052,Nobel,8,No,70,724,Yes,Mac,Snapchat,2,Spring19
8898,1,M,71,146,No,right,1,1,30,6,1.8,8,No,No,20,9514,Olympic,0,No,82,1100,Yes,Mac,Instagram,2,Spring19
758,2,F,65,130,No,right,2,3,130,2.5,3.6,13,No,No,4,2576,Olympic,19,Yes,29,500,Yes,Mac,Snapchat,2,Spring19
3899,1,F,64,130,No,right,5,6,25,3,3.6,5,No,No,15,2712,Academy,4,No,68,750,Yes,Mac,Snapchat,2,Spring19
2199,1,F,65,155,No,left,2,2,30,6,3.25,5,No,No,4,3428,Nobel,7,No,74,500,Yes,Mac,Instagram,2,Spring19
8514,1,M,71,168,No,right,1,2,20,3.5,3.58,7.5,No,No,4,6139,Nobel,0,No,69,350,No,PC,Instagram,2,Spring19
9651,1,M,71,NA,Yes,left,2,2,15,2.5,3.8,3,Planning,No,15,64,Nobel,0,No,73,400,No,Mac,Snapchat,2,Spring19
