Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
4646,1,M,68,160,Yes,right,1,1,25,2.25,NA,7,No,No,14,1322,Nobel,0,No,NA,NA,No,Mac,Snapchat,6,Fall18
2633,1,M,72,200,No,right,3,2,35,6,NA,3,No,Yes,12,5362,Olympic,0,No,NA,0,No,Mac,Snapchat,6,Fall18
4721,1,M,69,160,No,right,0,1,18,6.5,NA,21,No,Yes,14,4596,Olympic,0,No,130,600,Yes,Mac,Instagram,6,Fall18
619,2,M,70,265,Yes,right,4,1,25,2,2.5,NA,Planning,No,NA,2625,Olympic,0,No,80,1000,No,Mac,Snapchat,6,Fall18
5131,2,F,64,135,No,right,0,1,90,3,3.4,5,Planning,No,15,888,Olympic,2,No,70,500,Yes,Mac,Instagram,6,Fall18
4409,2,M,72,165,No,right,1,1,20,10,3.21,7,Planning,No,9,1234,Nobel,0,No,74,0,No,Mac,Snapchat,6,Fall18
185,2,M,73,NA,Yes,right,2,2,20,9,3.15,7,Planning,No,5,9482,Nobel,0,No,NA,900,Yes,PC,Instagram,6,Fall18
4141,2,F,67,140,No,right,3,3,60,6.5,3.3,14,No,Yes,14,7321,Olympic,5,No,70,1000,Yes,Mac,Instagram,6,Fall18
2982,4,M,74,177,No,both,0,1,24,18,3.94,12,No,Yes,12,3048,Nobel,0,No,48,500,Yes,Mac,Snapchat,6,Fall18
1372,2,M,69,158,No,right,1,1,0,5.5,3.13,18,No,Yes,10,4857,Nobel,2,No,NA,600,No,Mac,Instagram,6,Fall18
8338,1,F,68,124,No,right,1,1,30,4.5,NA,5,No,No,5,7337,Academy,3,No,100,0,Yes,Mac,Instagram,6,Fall18
8387,2,F,63,145,No,right,2,2,0,7,3.01,3,No,No,0,1234,Nobel,2,Yes,57,300,No,NA,Snapchat,6,Fall18
1831,1,F,68,150,No,right,1,2,NA,6,NA,10,No,Yes,7,2908,Olympic,6,Yes,130,1100,Yes,Mac,Snapchat,6,Fall18
9396,2,M,71,240,No,left,3,2,0,3,3,10,No,Yes,50,70,Nobel,0,No,90,500,Yes,PC,Twitter,6,Fall18
4666,1,M,70,165,No,right,3,4,25,6,NA,15,No,Yes,5,1111,Olympic,0,No,66,500,Yes,Mac,Snapchat,6,Fall18
1023,2,F,66,155,No,right,1,1,0,0.05,3.4,8,Planning,Yes,2,6098,Nobel,8,No,53,230,Yes,Mac,Twitter,6,Fall18
6108,1,F,66,140,No,right,2,1,35,2.5,NA,15,No,Yes,3,6523,Nobel,5,No,60,0,Yes,Mac,Instagram,6,Fall18
340,2,M,74,156,No,right,3,3,12,6,3.23,14,No,Yes,7,9346,Olympic,0,No,50,100,No,Mac,Snapchat,6,Fall18
8479,1,M,70,160,No,right,1,2,0,15,NA,14,No,No,10,1597,Olympic,0,No,84,197,Yes,PC,Twitter,6,Fall18
9055,1,M,72,160,No,right,2,2,30,5.5,NA,9,No,No,5,9387,Nobel,0,No,78,443,Yes,Mac,Instagram,6,Fall18
5776,1,M,67,125,No,right,0,1,14,9,NA,7,Planning,No,15,4444,Nobel,0,No,NA,1000,No,PC,Facebook,6,Fall18
NA,2,M,73,155,No,right,1,2,19,7,NA,8,Planning,No,4,7368,Nobel,0,No,NA,NA,No,Mac,Snapchat,4,Fall18
