Phone,Year,Gender,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,SocialMedia_Facebook,SocialMedia_Twitter,Computer,SocialMedia_Favorite,Class
1119,2,M,74,245,No,right,1,1,17,7,3.2,14,No,Yes,10,3906,Nobel,0,No,100,0,Yes,Mac,Snapchat,3
4664,1,F,61,145,No,right,1,2,60,16,,2,No,No,6,4678,Nobel,2,No,70,0,No,PC,Instagram,3
9661,1,M,67,127,Yes,right,1,2,8,30,,15,No,Yes,3,1428,Olympic,1,No,58,100,Yes,Mac,Instagram,3
2470,2,F,65,135,No,right,1,1,0,4,3,20,No,Yes,3,7384,Nobel,6,No,70,0,Yes,Mac,TikTok,3
7805,1,F,63,145,Yes,left,1,1,0,9.5,,6,No,No,20,4596,Nobel,5,No,82,200,Yes,Mac,Snapchat,3
603,1,F,69,135,Yes,right,3,3,0,5,,5,No,Yes,5,6969,Olympic,3,Yes,60,0,Yes,Mac,Snapchat,3
5599,1,M,74,225,No,right,4,3,25,7.5,,20,No,Yes,5,4677,Olympic,0,Yes,72,0,Yes,Mac,Snapchat,3
2384,2,F,66,150,Yes,right,1,2,50,36,3.8,2,No,No,6,2050,Olympic,4,Yes,55,462,Yes,Mac,Instagram,3
40,1,F,69,145,No,right,0,1,100,5,,9,Planning,Yes,6,1234,Olympic,0,No,47,0,Yes,Mac,Snapchat,3
883,2,M,69,153,No,right,1,2,20,8,3.56,13,Planning,Yes,12,1766,Olympic,0,No,65,0,Yes,PC,Instagram,3
2177,1,F,62,112,No,right,1,1,0,24,,10,No,Yes,1,2,Olympic,3,No,84,200,No,Mac,Snapchat,3
8930,2,F,62,112,No,right,3,4,75,6,3.48,5,No,No,6,3245,Olympic,0,Yes,82,0,Yes,Mac,Snapchat,3
5406,3,M,77,315,No,both,2,1,18,4,3.1,15,No,No,5,1021,Nobel,0,No,78,100,No,PC,Other,3
2891,1,F,65,145,No,left,2,2,100,4,,10,Planning,Yes,4,8677,Olympic,2,No,,70,No,PC,Instagram,3
7447,1,M,,180,No,right,3,2,50,2,3.3,7,Planning,No,3,3498,Olympic,0,No,120,0,No,Mac,Snapchat,4
4928,2,M,74,186,No,left,1,2,0,10,3,14,No,Yes,4,2582,Olympic,0,Yes,60,700,Yes,Other,Instagram,4
3809,1,F,62,110,No,right,2,3,50,7,,6,No,No,9,3333,Olympic,4,No,90,50,No,Mac,Snapchat,4
6009,2,M,75,175,No,right,1,1,26,6.5,3.6,14,No,Yes,4,6969,Olympic,0,No,80,0,No,Mac,Snapchat,4
3683,2,F,66,175,No,right,3,2,60,6,,2,No,No,4,8228,Nobel,7,No,110,,,PC,Instagram,4
811,1,M,76,180,Yes,right,1,1,15,3.5,,10,No,Yes,2,1400,Olympic,0,No,55,0,Yes,PC,TikTok,4
4548,1,F,64,175,No,right,2,2,30,1,,4,No,No,15,9656,Academy,4,No,52,0,Yes,Mac,Snapchat,4
5753,2,M,74,180,No,right,3,1,20,0.75,,0,No,No,40,9102,Nobel,0,No,,812,Yes,PC,Facebook,4
5098,1,M,74,165,No,right,2,2,8,3,,15,Planning,Yes,3,3456,Olympic,0,No,66,88,Yes,Mac,Instagram,4
9098,3,F,64,130,No,right,1,2,0,20,3.8,5,No,Yes,4,3657,Olympic,10,Yes,88,0,No,Mac,Snapchat,4
5239,2,M,70,185,No,left,2,2,35,6,2.7,10,No,Yes,10,1028,Olympic,0,No,57,0,Yes,PC,Twitter,4
5013,1,F,59,103,Yes,right,1,2,80,6,,0,No,No,3,3940,Academy,4,Yes,77,120,Yes,Mac,Snapchat,4
3777,1,M,70,175,No,right,1,2,20,2.5,,25,No,Yes,10,,Olympic,0,No,75,400,Yes,Mac,Snapchat,4
4031,1,M,71,200,No,right,1,2,15,6,,8,No,Yes,1,3737,Academy,0,No,70,0,No,Mac,Instagram,3
5524,1,F,67,140,No,right,1,1,100,6,,15,No,Yes,8,7294,Nobel,4,No,52,212,Yes,Mac,TikTok,4
9415,1,M,73,185,No,right,0,1,40,14,,8,No,Yes,1,5555,Olympic,0,No,72,0,No,PC,Snapchat,4
751,1,F,66,130,No,right,1,2,25,8,,5,No,No,5,4567,Olympic,2,No,70,200,No,Mac,Snapchat,4
5084,1,M,75,167,No,right,1,1,20,6,,7,No,Yes,10,1345,Olympic,0,No,60,50,Yes,Mac,Snapchat,4
6610,2,M,71,180,No,right,1,2,20,2,2.9,16,Planning,Yes,5,7136,Olympic,0,Yes,72,0,No,Mac,Snapchat,4
3303,2,M,70,170,Yes,right,1,1,17,3.5,3.3,7,No,No,10,1414,Olympic,0,No,70,0,No,Mac,Instagram,4
6112,1,M,70,170,No,right,2,2,24,6,,4,No,No,6,9832,Nobel,0,No,70,0,Yes,Mac,Snapchat,4
2132,1,F,66,118,No,right,3,2,0,3,,,No,No,4,2947,Nobel,2,Yes,70,,No,Other,Instagram,4
6249,2,M,69,200,No,right,3,3,60,7,2.6,6,Planning,No,8,7777,Academy,0,No,60,1000,Yes,Mac,Snapchat,4
6745,1,M,71,140,No,right,1,1,30,5,,7,No,No,7,3127,Nobel,0,No,60,45,Yes,Mac,Instagram,4
495,2,F,66,125,No,right,1,1,200,8,3.5,8,Planning,Yes,7,2345,Nobel,4,No,70,150,No,Mac,Instagram,4
2571,1,M,64,152,No,left,2,3,60,6,,20,No,Yes,32,1410,Olympic,0,No,60,0,Yes,Mac,Snapchat,4
6875,1,M,69,195,Yes,right,3,4,15,0.25,,6,No,Yes,4,8836,Nobel,0,No,66,587,Yes,PC,Instagram,4
5398,2,F,66,122,No,right,0,1,125,6.5,3.71,15,No,No,20,2562,Olympic,7,Yes,92,392,No,Mac,Snapchat,2
1353,1,F,67,108,No,right,0,1,500,7,,3,No,No,4,1869,Academy,2,Yes,91,150,Yes,Mac,Twitter,3
5370,2,M,72,180,No,right,3,4,18,6,2.41,5,No,No,4,6184,Olympic,0,No,56,10,Yes,PC,TikTok,3
1555,1,M,73,173,No,right,1,1,22,6,,5,No,No,2,2517,Nobel,0,No,70,0,No,PC,Snapchat,5
5129,3,M,77,210,No,right,2,3,0,4,4,8,No,Yes,7,6969,Nobel,0,No,80,0,Yes,Mac,Snapchat,5
9847,1,F,65,,No,right,1,2,30,6,,12,Yes,,5,6543,Olympic,2,No,68,0,No,Mac,Snapchat,5
8855,1,F,65,120,No,right,1,2,64,6,,12,No,Yes,4,2991,Olympic,2,No,74,0,Yes,Mac,Instagram,5
398,2,F,64,130,No,both,1,2,70,60,3.6,5,No,No,5,6820,Nobel,4,Yes,50,15,No,PC,Instagram,5
9641,2,M,68,140,No,both,1,1,20,6,3.2,15,No,Yes,10,4444,Olympic,0,Yes,60,0,Yes,Mac,Instagram,5
2705,1,F,66,116,No,right,1,1,45,3.5,,5,Planning,No,15,9215,Nobel,10,Yes,70,400,Yes,Mac,Instagram,5
